14612500-9;Μεταλλεύματα μολύβδου;
14612600-0;Μεταλλεύματα ψευδαργύρου;
14612700-1;Μεταλλεύματα λευκοσιδήρου;
14613000-1;Μεταλλεύματα ουρανίου και θορίου;
14613100-2;Μεταλλεύματα ουρανίου;
14613200-3;Μεταλλεύματα θορίου;
14614000-8;Διάφορα μεταλλεύματα;
14620000-3;Κράματα;
14621000-0;Κράματα σιδήρου;
14621100-1;Κράματα σιδήρου εκτός των κραμάτων της ΕΚΑΧ;
14621110-4;Σιδηρομαγγάνιο;
14621120-7;Σιδηροχρώμιο;
14621130-0;Σιδηρονικέλιο;
14622000-7;Χάλυβας;
14630000-6;Σκωρίες, σκωρίες υψικαμίνου, σιδηρούχα απορρίμματα και υπολείμματα;
14700000-8;Βασικά μέταλλα;
14710000-1;Σίδηρος, μόλυβδος, ψευδάργυρος, κασσίτερος και χαλκός;
14711000-8;Σίδηρος;
14711100-9;Ακατέργαστος χυτοσίδηρος;
14712000-5;Μόλυβδος;
14713000-2;Ψευδάργυρος;
14714000-9;Κασσίτερος;
14715000-6;Χαλκός;
14720000-4;Αλουμίνιο, νικέλιο, σκάνδιο, τιτάνιο και βανάδιο;
14721000-1;Αλουμίνιο;
14721100-2;Οξείδιο του αργιλίου;
14722000-8;Νικέλιο;
14723000-5;Σκάνδιο;
14724000-2;Τιτάνιο;
14725000-9;Βανάδιο;
14730000-7;Χρώμιο, μαγγάνιο, κοβάλτιο, ύττριο και ζιρκόνιο;
14731000-4;Χρώμιο;
14732000-1;Μαγγάνιο;
14733000-8;Κοβάλτιο;
14734000-5;Ύττριο;
14735000-2;Ζιρκόνιο;
14740000-0;Μολυβδαίνιο, τεχνήτιο, ρουθήνιο και ρόδιο;
14741000-7;Μολυβδαίνιο;
14742000-4;Τεχνήτιο;
14743000-1;Ρουθήνιο;
14744000-8;Ρόδιο;
14750000-3;Κάδμιο, λουτήτιο, άφνιο, ταντάλιο και βολφράμιο;
14751000-0;Κάδμιο;
14752000-7;Λουτήτιο;
14753000-4;’φνιο;
14754000-1;Ταντάλιο;
14755000-8;Βολφράμιο;
14760000-6;Ιρίδιο, γάλλιο, ίνδιο, θάλλιο και βάριο;
14761000-3;Ιρίδιο;
14762000-0;Γάλλιο;
14763000-7;Ίνδιο;
14764000-4;Θάλλιο;
14765000-1;Βάριο;
14770000-9;Καίσιο, στρόντιο, ρουβήδιο και ασβέστιο;
14771000-6;Καίσιο;
14772000-3;Στρόντιο;
14773000-0;Ρουβίδιο;
14774000-7;Ασβέστιο;
14780000-2;Κάλιο, μαγνήσιο, νάτριο και λίθιο;
14781000-9;Κάλιο;
14782000-6;Μαγνήσιο;
14783000-3;Νάτριο;
14784000-0;Λίθιο;
14790000-5;Νιόβιο, όσμιο, ρήνιο και παλλάδιο;
14791000-2;Νιόβιο;
14792000-9;Όσμιο;
14793000-6;Ρήνιο;
14794000-3;Παλλάδιο;
14800000-9;Διάφορα μη μεταλλικά ορυκτά προϊόντα;
14810000-2;Λειαντικά προϊόντα;
19520000-7;Πλαστικά προϊόντα;
03418100-4;Σκληρή ξυλεία;
03419000-0;Ξυλεία;
03419100-1;Προϊόντα ξυλείας;
03419200-2;Ξυλεία ορυχείων;
03420000-0;Κόμμεα;
03421000-7;Βάλσαμα;
03422000-4;Λάκα;
03430000-3;Φελλός;
03431000-0;Φυσικός φελλός;
03432000-7;Καλαθοποιία;
03432100-8;Σπαρτοπλεκτική;
03440000-6;Δασοκομικά προϊόντα;
03441000-3;Διακοσμητικά φυτά, χορτάρια, βρύα και λειχήνες;
03450000-9;Προϊόντα φυτωρίων δέντρων;
03451000-6;Φυτά;
03451100-7;Φυτά για φύτευση σε παρτέρια;
03451200-8;Βολβοί λουλουδιών;
03451300-9;Θάμνοι;
03452000-3;Δένδρα;
03460000-2;Πολτός;
03461000-9;Ξυλοπολτός;
03461100-0;Χημικός ξυλοπολτός;
09000000-3;Πετρελαϊκά προϊόντα, καύσιμα, ηλεκτρική και άλλες πηγές ενέργειας;
09100000-0;Καύσιμα;
09110000-3;Στερεά καύσιμα;
09111000-0;’νθρακας και καύσιμα με βάση τον άνθρακα;
09111100-1;Γαιάνθρακας;
09111200-2;Καύσιμα με βάση τον άνθρακα;
09111210-5;Λιθάνθρακας;
09111220-8;Μπρικέτες;
09111300-3;Φυσικά καύσιμα;
09111400-4;Καύσιμα με βάση το ξύλο;
09112000-7;Λιγνίτης και τύρφη;
09112100-8;Λιγνίτης;
09112200-9;Τύρφη;
09113000-4;Οπτάνθρακας;
09120000-6;Αέρια καύσιμα;
09121000-3;Φωταέριο, αέριο μέσω αγωγών ή παρόμοια αέρια;
09121100-4;Φωταέριο ή παρόμοια αέρια;
09121200-5;Αέριο μέσω αγωγών;
09122000-0;Προπάνιο και βουτάνιο;
09122100-1;Αέριο προπάνιο;
09122110-4;Υγροποιημένο προπάνιο;
09122200-2;Αέριο βουτάνιο;
09122210-5;Υγροποιημένο βουτάνιο;
09123000-7;Φυσικό αέριο;
09130000-9;Πετρέλαιο και αποστάγματα;
09131000-6;Κηροζίνη αεροσκαφών;
09131100-7;Καύσιμα αεριωθουμένων τύπου κηροζίνης;
09132000-3;Βενζίνη;
09132100-4;Αμόλυβδη βενζίνη;
09132200-5;Μολυβδούχος βενζίνη;
09132300-6;Μείγμα βενζίνης με αιθανόλη;
09133000-0;Υγροποιημένο αέριο πετρελαίου (υγραέριο);
09134000-7;Ακάθαρτο πετρέλαιο;
09134100-8;Πετρέλαιο ντίζελ;
09134200-9;Καύσιμο πετρελαιοκινητήρων ντίζελ;
09134210-2;Καύσιμα ντίζελ (0,2);
09134220-5;Καύσιμα ντίζελ (EN 590);
09134230-8;Βιοντίζελ;
09134231-5;Βιοντίζελ (B20);
09134232-2;Βιοντίζελ (B100);
09135000-4;Πετρέλαιο εξωτερικής καύσης;
